GPPractice/Area,Year,Age,Sex,AreaType,PracticeCode,PatientCount_Asthma,PatientCount_Atrial Fibrillation,PatientCount_Cancer,PatientCount_Chronic Kidney Disease (CKD),PatientCount_Chronic Obstructive Pulmonary Disease (COPD),PatientCount_Coronary Heart Disease (CHD),PatientCount_Dementia,PatientCount_Depression,PatientCount_Diabetes,PatientCount_Eating Disorder,PatientCount_Epilepsy,PatientCount_Heart Failure,PatientCount_Hypertension,PatientCount_Mental Health,PatientCount_Osteoporosis,PatientCount_Palliative Care,PatientCount_Peripheral Arterial Disease (PAD),PatientCount_Rheumatoid Arthritis,PatientCount_Stroke and TIA,Rate_Asthma,Rate_Atrial Fibrillation,Rate_Cancer,Rate_Chronic Kidney Disease (CKD),Rate_Chronic Obstructive Pulmonary Disease (COPD),Rate_Coronary Heart Disease (CHD),Rate_Dementia,Rate_Depression,Rate_Diabetes,Rate_Eating Disorder,Rate_Epilepsy,Rate_Heart Failure,Rate_Hypertension,Rate_Mental Health,Rate_Osteoporosis,Rate_Palliative Care,Rate_Peripheral Arterial Disease (PAD),Rate_Rheumatoid Arthritis,Rate_Stroke and TIA
NHS Fife,2023,15-19,All,Board,,1123,0,31,5,5,0,0,472,142,166,215,5,26,10,0,0,0,15,15,5,0,0.1,0,0,0,0,2.1,0.6,0.7,1,0,0.1,0,0,0,0,0.1,0.1
NHS Fife,2023,20-24,All,Board,,1331,5,40,5,10,0,0,2295,165,215,301,5,54,87,5,5,0,10,30,5.4,0,0.2,0,0,0,0,9.3,0.7,0.9,1.2,0,0.2,0.4,0,0,0,0,0.1
NHS Fife,2023,25-29,All,Board,,1424,15,75,15,16,5,0,3798,248,202,365,10,132,173,5,0,0,37,30,6.4,0.1,0.3,0.1,0.1,0,0,17,1.1,0.9,1.6,0,0.6,0.8,0,0,0,0.2,0.1
NHS Fife,2023,30-34,All,Board,,1711,15,122,38,28,15,0,5021,359,214,415,15,357,239,15,10,0,56,53,7,0.1,0.5,0.2,0.1,0.1,0,20.4,1.5,0.9,1.7,0.1,1.5,1,0.1,0,0,0.2,0.2
NHS Fife,2023,35-39,All,Board,,1929,27,204,51,47,31,0,5713,541,231,485,21,664,284,27,10,5,77,91,7.6,0.1,0.8,0.2,0.2,0.1,0,22.6,2.1,0.9,1.9,0.1,2.6,1.1,0.1,0,0,0.3,0.4
NHS Fife,2023,40-44,All,Board,,2044,45,326,108,108,110,5,6267,814,272,475,40,1227,381,30,10,22,136,141,8.2,0.2,1.3,0.4,0.4,0.4,0,25.1,3.3,1.1,1.9,0.2,4.9,1.5,0.1,0,0.1,0.5,0.6
NHS Fife,2023,45-49,All,Board,,2119,82,453,186,260,223,5,6082,1137,207,444,56,2072,385,54,15,34,146,245,9.1,0.4,1.9,0.8,1.1,1,0,26.1,4.9,0.9,1.9,0.2,8.9,1.7,0.2,0.1,0.1,0.6,1.1
NHS Fife,2023,50-54,All,Board,,2753,232,779,409,592,610,5,7417,1855,237,521,105,4202,387,129,22,101,229,508,10,0.8,2.8,1.5,2.2,2.2,0,27,6.7,0.9,1.9,0.4,15.3,1.4,0.5,0.1,0.4,0.8,1.8
NHS Fife,2023,55-59,All,Board,,2981,373,1196,738,1066,1081,24,7725,2803,174,586,180,6313,448,301,46,221,383,812,10.2,1.3,4.1,2.5,3.6,3.7,0.1,26.4,9.6,0.6,2,0.6,21.6,1.5,1,0.2,0.8,1.3,2.8
NHS Fife,2023,60-64,All,Board,,2758,571,1648,1186,1453,1588,54,6805,3195,103,490,253,7865,337,671,55,371,395,1187,10.1,2.1,6,4.4,5.3,5.8,0.2,25,11.7,0.4,1.8,0.9,28.9,1.2,2.5,0.2,1.4,1.4,4.4
NHS Fife,2023,65-69,All,Board,,2263,839,2054,1728,1707,1959,116,5473,3462,82,424,354,8570,316,995,69,483,442,1421,9.8,3.6,8.9,7.5,7.4,8.5,0.5,23.6,14.9,0.4,1.8,1.5,37,1.4,4.3,0.3,2.1,1.9,6.1
NHS Fife,2023,70-74,All,Board,,1937,1191,2435,2715,1797,2312,251,4332,3307,48,331,465,9179,271,1386,93,590,453,1694,9.4,5.8,11.9,13.2,8.8,11.3,1.2,21.1,16.1,0.2,1.6,2.3,44.7,1.3,6.7,0.5,2.9,2.2,8.2
NHS Fife,2023,75-79,All,Board,,1661,1618,2653,3805,1750,2604,558,3699,3172,24,318,581,9384,308,1658,124,648,432,1946,9.3,9,14.8,21.3,9.8,14.5,3.1,20.7,17.7,0.1,1.8,3.2,52.4,1.7,9.3,0.7,3.6,2.4,10.9
NHS Fife,2023,80-84,All,Board,,927,1419,1795,3123,1180,1961,697,1871,2019,10,171,480,6179,229,1279,104,475,291,1468,8.9,13.6,17.2,29.8,11.3,18.7,6.7,17.9,19.3,0.1,1.6,4.6,59,2.2,12.2,1,4.5,2.8,14
NHS Fife,2023,85plus,All,Board,,667,1668,1557,3887,836,2006,1239,1353,1553,10,128,647,5722,324,1676,247,401,227,1702,7.3,18.2,17,42.3,9.1,21.9,13.5,14.7,16.9,0.1,1.4,7,62.3,3.5,18.3,2.7,4.4,2.5,18.5
NHS Fife,2023,All,All,Board,,29792,8105,15418,18001,10862,14507,2951,68348,24932,2290,5958,3214,61966,4180,8239,818,3352,3351,11388,7.6,2.1,3.9,4.6,2.8,3.7,0.8,17.5,6.4,0.6,1.5,0.8,15.8,1.1,2.1,0.2,0.9,0.9,2.9
NHS Fife,2024,00-4,All,Board,,124,0,5,0,5,0,0,0,5,10,34,0,0,0,0,0,0,0,15,0.8,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0.1
NHS Fife,2024,05-9,All,Board,,833,0,16,5,5,0,0,0,39,41,105,0,10,0,0,0,0,5,15,4.3,0,0.1,0,0,0,0,0,0.2,0.2,0.5,0,0.1,0,0,0,0,0,0.1
NHS Fife,2024,10-14,All,Board,,1230,0,28,5,5,0,0,21,115,64,153,0,10,0,0,0,0,15,15,5.6,0,0.1,0,0,0,0,0.1,0.5,0.3,0.7,0,0,0,0,0,0,0.1,0.1
NHS Fife,2024,15-19,All,Board,,1158,0,41,5,0,0,0,444,141,195,231,5,20,10,0,0,0,16,24,5.1,0,0.2,0,0,0,0,1.9,0.6,0.9,1,0,0.1,0,0,0,0,0.1,0.1
NHS Fife,2024,20-24,All,Board,,1213,5,37,10,10,5,0,2202,156,213,287,5,59,82,5,5,0,10,30,4.9,0,0.2,0,0,0,0,9,0.6,0.9,1.2,0,0.2,0.3,0,0,0,0,0.1
NHS Fife,2024,25-29,All,Board,,1376,10,72,15,17,5,0,3758,268,191,365,5,130,161,10,5,0,37,29,6.2,0,0.3,0.1,0.1,0,0,16.9,1.2,0.9,1.6,0,0.6,0.7,0,0,0,0.2,0.1
NHS Fife,2024,30-34,All,Board,,1724,16,123,40,37,20,0,5072,382,226,419,17,360,236,15,10,0,55,62,7,0.1,0.5,0.2,0.2,0.1,0,20.7,1.6,0.9,1.7,0.1,1.5,1,0.1,0,0,0.2,0.3
NHS Fife,2024,35-39,All,Board,,1853,35,196,55,50,30,0,5776,562,224,485,23,709,303,30,5,10,83,88,7.2,0.1,0.8,0.2,0.2,0.1,0,22.6,2.2,0.9,1.9,0.1,2.8,1.2,0.1,0,0,0.3,0.3
NHS Fife,2024,40-44,All,Board,,2052,47,328,113,118,113,5,6277,886,282,470,32,1301,377,37,10,15,144,139,8.2,0.2,1.3,0.5,0.5,0.5,0,25.1,3.5,1.1,1.9,0.1,5.2,1.5,0.1,0,0.1,0.6,0.6
NHS Fife,2024,45-49,All,Board,,2089,89,450,172,267,224,5,5997,1179,209,442,49,2139,378,47,16,38,135,251,9.1,0.4,2,0.7,1.2,1,0,26,5.1,0.9,1.9,0.2,9.3,1.6,0.2,0.1,0.2,0.6,1.1
NHS Fife,2024,50-54,All,Board,,2640,203,738,404,594,563,5,7137,1810,232,506,99,4085,399,121,24,95,222,476,10.1,0.8,2.8,1.5,2.3,2.1,0,27.2,6.9,0.9,1.9,0.4,15.6,1.5,0.5,0.1,0.4,0.8,1.8
NHS Fife,2024,55-59,All,Board,,2979,380,1226,744,1084,1082,21,7694,2863,171,560,191,6361,414,282,45,211,365,799,10.4,1.3,4.3,2.6,3.8,3.8,0.1,26.9,10,0.6,2,0.7,22.2,1.4,1,0.2,0.7,1.3,2.8
NHS Fife,2024,60-64,All,Board,,2810,631,1643,1165,1470,1611,45,6966,3356,108,502,246,7897,365,631,65,359,379,1199,10.3,2.3,6,4.3,5.4,5.9,0.2,25.6,12.3,0.4,1.8,0.9,29,1.3,2.3,0.2,1.3,1.4,4.4
NHS Fife,2024,65-69,All,Board,,2393,843,2058,1736,1761,1921,115,5600,3506,88,421,366,8595,326,1012,72,471,439,1442,10.3,3.6,8.8,7.4,7.6,8.2,0.5,24,15,0.4,1.8,1.6,36.9,1.4,4.3,0.3,2,1.9,6.2
NHS Fife,2024,70-74,All,Board,,1912,1126,2354,2487,1726,2168,248,4222,3352,50,319,442,8832,251,1270,77,557,440,1614,9.7,5.7,11.9,12.6,8.8,11,1.3,21.4,17,0.3,1.6,2.2,44.8,1.3,6.4,0.4,2.8,2.2,8.2
NHS Fife,2024,75-79,All,Board,,1688,1698,2731,3779,1827,2618,567,3783,3272,29,332,627,9487,280,1724,127,609,425,1947,9.3,9.4,15,20.8,10.1,14.4,3.1,20.8,18,0.2,1.8,3.5,52.3,1.5,9.5,0.7,3.4,2.3,10.7
NHS Fife,2024,80-84,All,Board,,959,1407,1805,3211,1159,1948,712,1962,2029,10,164,492,6208,238,1360,109,459,284,1477,9,13.2,16.9,30.1,10.9,18.3,6.7,18.4,19,0.1,1.5,4.6,58.2,2.2,12.8,1,4.3,2.7,13.8
NHS Fife,2024,85plus,All,Board,,700,1729,1585,3835,829,1928,1208,1361,1623,10,121,622,5712,294,1610,234,389,245,1693,7.6,18.8,17.3,41.8,9,21,13.2,14.8,17.7,0.1,1.3,6.8,62.2,3.2,17.5,2.5,4.2,2.7,18.4
NHS Fife,2024,All,All,Board,,29733,8221,15436,17772,10962,14236,2933,68273,25546,2355,5915,3219,61917,4117,8157,811,3211,3301,11310,7.7,2.1,4,4.6,2.8,3.7,0.8,17.6,6.6,0.6,1.5,0.8,16,1.1,2.1,0.2,0.8,0.9,2.9
NHS Fife,2025,00-4,All,Board,,109,0,5,0,5,0,0,0,5,10,34,0,0,0,0,0,0,0,15,0.7,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0.1
NHS Fife,2025,05-9,All,Board,,794,0,16,0,0,0,0,0,40,49,97,0,10,0,0,0,0,5,15,4.2,0,0.1,0,0,0,0,0,0.2,0.3,0.5,0,0.1,0,0,0,0,0,0.1
NHS Fife,2025,10-14,All,Board,,1240,0,25,5,5,0,0,24,114,81,164,0,15,0,0,0,0,15,20,5.7,0,0.1,0,0,0,0,0.1,0.5,0.4,0.8,0,0.1,0,0,0,0,0.1,0.1
NHS Fife,2025,15-19,All,Board,,1133,0,44,5,5,0,0,405,152,195,232,5,16,15,0,0,0,15,21,4.8,0,0.2,0,0,0,0,1.7,0.6,0.8,1,0,0.1,0.1,0,0,0,0.1,0.1
NHS Fife,2025,20-24,All,Board,,1181,5,40,5,5,5,0,2084,175,219,274,5,63,83,10,5,0,10,28,4.8,0,0.2,0,0,0,0,8.5,0.7,0.9,1.1,0,0.3,0.3,0,0,0,0,0.1
NHS Fife,2025,25-29,All,Board,,1417,10,68,15,15,5,0,3646,260,207,366,5,142,169,10,5,0,37,30,6.4,0,0.3,0.1,0.1,0,0,16.4,1.2,0.9,1.6,0,0.6,0.8,0,0,0,0.2,0.1
NHS Fife,2025,30-34,All,Board,,1693,23,128,32,38,19,0,5129,398,230,419,13,372,240,10,5,0,52,61,6.8,0.1,0.5,0.1,0.2,0.1,0,20.7,1.6,0.9,1.7,0.1,1.5,1,0,0,0,0.2,0.2
NHS Fife,2025,35-39,All,Board,,1878,36,188,56,66,32,0,5875,616,226,485,24,779,301,29,10,10,78,84,7.2,0.1,0.7,0.2,0.3,0.1,0,22.6,2.4,0.9,1.9,0.1,3,1.2,0.1,0,0,0.3,0.3
NHS Fife,2025,40-44,All,Board,,2023,44,318,107,126,105,5,6386,908,279,493,32,1372,394,44,10,10,143,142,8,0.2,1.3,0.4,0.5,0.4,0,25.2,3.6,1.1,1.9,0.1,5.4,1.6,0.2,0,0,0.6,0.6
NHS Fife,2025,45-49,All,Board,,2183,86,476,165,259,232,5,6135,1296,222,444,58,2284,379,49,15,43,143,253,9.3,0.4,2,0.7,1.1,1,0,26,5.5,0.9,1.9,0.2,9.7,1.6,0.2,0.1,0.2,0.6,1.1
NHS Fife,2025,50-54,All,Board,,2565,204,685,368,589,536,10,6953,1862,227,503,99,4010,411,116,27,82,218,458,10.1,0.8,2.7,1.5,2.3,2.1,0,27.4,7.4,0.9,2,0.4,15.8,1.6,0.5,0.1,0.3,0.9,1.8
NHS Fife,2025,55-59,All,Board,,2982,377,1249,711,1060,1068,17,7649,2891,177,564,199,6502,408,279,49,198,356,819,10.5,1.3,4.4,2.5,3.7,3.8,0.1,26.9,10.2,0.6,2,0.7,22.9,1.4,1,0.2,0.7,1.3,2.9
NHS Fife,2025,60-64,All,Board,,2934,659,1675,1158,1506,1660,52,7227,3577,134,501,267,8074,397,622,67,371,393,1186,10.6,2.4,6,4.2,5.4,6,0.2,26,12.9,0.5,1.8,1,29.1,1.4,2.2,0.2,1.3,1.4,4.3
NHS Fife,2025,65-69,All,Board,,2560,874,2063,1696,1825,1957,123,5765,3713,92,430,359,8860,329,997,66,464,438,1504,10.7,3.6,8.6,7.1,7.6,8.1,0.5,24,15.5,0.4,1.8,1.5,36.9,1.4,4.2,0.3,1.9,1.8,6.3
NHS Fife,2025,70-74,All,Board,,1996,1176,2408,2429,1768,2157,272,4328,3462,53,338,449,8898,253,1270,85,546,440,1683,10,5.9,12.1,12.2,8.9,10.8,1.4,21.8,17.4,0.3,1.7,2.3,44.7,1.3,6.4,0.4,2.7,2.2,8.5
NHS Fife,2025,75-79,All,Board,,1743,1697,2808,3805,1846,2602,539,3881,3445,29,324,661,9597,268,1738,115,612,434,2003,9.4,9.2,15.2,20.6,10,14.1,2.9,21,18.6,0.2,1.8,3.6,51.9,1.5,9.4,0.6,3.3,2.3,10.8
NHS Fife,2025,80-84,All,Board,,1013,1559,1901,3403,1209,1964,735,2109,2164,12,184,561,6517,232,1414,125,471,294,1565,9.1,14,17,30.5,10.8,17.6,6.6,18.9,19.4,0.1,1.6,5,58.3,2.1,12.7,1.1,4.2,2.6,14
NHS Fife,2025,85plus,All,Board,,744,1806,1653,3936,881,1964,1240,1457,1727,11,127,655,5871,282,1660,225,391,245,1754,7.8,19,17.4,41.4,9.3,20.6,13,15.3,18.2,0.1,1.3,6.9,61.7,3,17.4,2.4,4.1,2.6,18.4
NHS Fife,2025,All,All,Board,,30188,8557,15749,17900,11205,14307,2998,69051,26804,2451,5979,3391,63382,4163,8251,809,3200,3319,11634,7.7,2.2,4,4.6,2.9,3.7,0.8,17.7,6.9,0.6,1.5,0.9,16.2,1.1,2.1,0.2,0.8,0.8,3
NHS Forth Valley,2022,00-4,All,Board,,124,0,5,0,0,0,0,0,10,5,36,0,0,0,0,0,0,0,10,0.9,0,0,0,0,0,0,0,0.1,0,0.3,0,0,0,0,0,0,0,0.1
NHS Forth Valley,2022,05-9,All,Board,,591,0,15,5,5,0,0,0,41,10,91,5,10,0,0,0,0,5,10,3.7,0,0.1,0,0,0,0,0,0.3,0.1,0.6,0,0.1,0,0,0,0,0,0.1
NHS Forth Valley,2022,10-14,All,Board,,844,0,15,5,5,0,0,18,112,22,113,5,10,0,0,5,0,10,10,4.7,0,0.1,0,0,0,0,0.1,0.6,0.1,0.6,0,0.1,0,0,0,0,0.1,0.1
NHS Forth Valley,2022,15-19,All,Board,,793,0,28,0,0,0,0,209,125,94,158,5,10,15,0,5,0,5,10,4.6,0,0.2,0,0,0,0,1.2,0.7,0.5,0.9,0,0.1,0.1,0,0,0,0,0.1
NHS Forth Valley,2022,20-24,All,Board,,978,0,34,5,5,5,0,1117,137,121,203,5,32,47,5,5,0,10,15,5.3,0,0.2,0,0,0,0,6.1,0.7,0.7,1.1,0,0.2,0.3,0,0,0,0.1,0.1
NHS Forth Valley,2022,25-29,All,Board,,1119,5,55,10,5,5,0,2175,191,127,245,5,89,89,10,5,0,16,17,6,0,0.3,0.1,0,0,0,11.7,1,0.7,1.3,0,0.5,0.5,0.1,0,0,0.1,0.1
NHS Forth Valley,2022,30-34,All,Board,,1234,15,100,16,20,5,0,2974,276,137,273,5,206,168,10,10,0,38,37,6.2,0.1,0.5,0.1,0.1,0,0,14.9,1.4,0.7,1.4,0,1,0.8,0.1,0.1,0,0.2,0.2
NHS Forth Valley,2022,35-39,All,Board,,1337,21,158,33,27,29,0,3580,394,153,282,10,398,200,22,5,5,51,56,6.8,0.1,0.8,0.2,0.1,0.1,0,18.3,2,0.8,1.4,0.1,2,1,0.1,0,0,0.3,0.3
NHS Forth Valley,2022,40-44,All,Board,,1554,45,236,52,82,94,0,4012,645,169,310,28,876,279,30,20,5,87,94,7.8,0.2,1.2,0.3,0.4,0.5,0,20.1,3.2,0.8,1.6,0.1,4.4,1.4,0.2,0.1,0,0.4,0.5
NHS Forth Valley,2022,45-49,All,Board,,1687,91,354,80,184,199,5,4626,888,193,349,59,1732,315,49,25,24,114,163,8.2,0.4,1.7,0.4,0.9,1,0,22.6,4.3,0.9,1.7,0.3,8.5,1.5,0.2,0.1,0.1,0.6,0.8
NHS Forth Valley,2022,50-54,All,Board,,2147,157,710,194,423,524,10,5647,1549,161,368,78,3439,379,112,45,77,181,370,8.9,0.7,2.9,0.8,1.8,2.2,0,23.4,6.4,0.7,1.5,0.3,14.3,1.6,0.5,0.2,0.3,0.8,1.5
NHS Forth Valley,2022,55-59,All,Board,,2045,283,1030,351,742,1010,20,5512,2089,123,437,160,4837,315,302,60,191,287,572,8.5,1.2,4.3,1.5,3.1,4.2,0.1,22.9,8.7,0.5,1.8,0.7,20.1,1.3,1.3,0.2,0.8,1.2,2.4
NHS Forth Valley,2022,60-64,All,Board,,1843,479,1276,505,975,1531,44,4757,2397,59,328,242,5848,286,578,87,267,279,789,8.8,2.3,6.1,2.4,4.6,7.3,0.2,22.6,11.4,0.3,1.6,1.1,27.8,1.4,2.7,0.4,1.3,1.3,3.7
NHS Forth Valley,2022,65-69,All,Board,,1537,648,1489,810,1157,1649,93,3652,2405,41,269,236,6137,218,711,99,329,272,895,8.9,3.8,8.7,4.7,6.7,9.6,0.5,21.2,14,0.2,1.6,1.4,35.7,1.3,4.1,0.6,1.9,1.6,5.2
NHS Forth Valley,2022,70-74,All,Board,,1286,1051,1985,1439,1296,2102,235,3172,2657,24,266,416,7205,203,999,164,425,268,1205,7.9,6.5,12.2,8.9,8,13,1.4,19.6,16.4,0.1,1.6,2.6,44.5,1.3,6.2,1,2.6,1.7,7.4
NHS Forth Valley,2022,75-79,All,Board,,1003,1238,1800,1874,1186,2121,427,2219,2205,10,209,454,6460,162,1041,140,393,269,1247,8,9.9,14.4,15,9.5,17,3.4,17.8,17.7,0.1,1.7,3.6,51.8,1.3,8.4,1.1,3.2,2.2,10
NHS Forth Valley,2022,80-84,All,Board,,615,1146,1320,1782,826,1755,584,1226,1475,0,90,455,4456,115,758,176,290,174,1063,7.9,14.7,16.9,22.8,10.6,22.5,7.5,15.7,18.9,0,1.2,5.8,57.1,1.5,9.7,2.3,3.7,2.2,13.6
NHS Forth Valley,2022,85plus,All,Board,,440,1268,1072,2154,536,1659,936,881,1079,0,86,518,4108,123,876,322,258,124,1168,6.6,19,16.1,32.4,8.1,24.9,14.1,13.2,16.2,0,1.3,7.8,61.7,1.8,13.2,4.8,3.9,1.9,17.5
NHS Forth Valley,2022,All,All,Board,,21177,6451,11679,9316,7478,12694,2354,45777,18675,1454,4113,2689,45855,2913,5507,1171,2269,2190,7724,6.8,2.1,3.8,3,2.4,4.1,0.8,14.7,6,0.5,1.3,0.9,14.8,0.9,1.8,0.4,0.7,0.7,2.5
NHS Forth Valley,2023,00-4,All,Board,,146,0,5,0,0,0,0,0,10,5,35,5,0,0,0,0,0,0,10,1.1,0,0,0,0,0,0,0,0.1,0,0.3,0,0,0,0,0,0,0,0.1
NHS Forth Valley,2023,05-9,All,Board,,686,0,15,0,5,0,0,0,36,10,91,5,5,0,0,0,0,5,10,4.3,0,0.1,0,0,0,0,0,0.2,0.1,0.6,0,0,0,0,0,0,0,0.1
NHS Forth Valley,2023,10-14,All,Board,,903,0,15,5,5,0,0,15,113,30,126,0,10,0,0,5,0,10,5,5.1,0,0.1,0,0,0,0,0.1,0.6,0.2,0.7,0,0.1,0,0,0,0,0.1,0
NHS Forth Valley,2023,15-19,All,Board,,815,5,26,5,5,5,0,216,120,109,169,5,15,15,5,5,0,10,10,4.5,0,0.1,0,0,0,0,1.2,0.7,0.6,0.9,0,0.1,0.1,0,0,0,0.1,0.1
NHS Forth Valley,2023,20-24,All,Board,,1015,0,35,10,5,5,0,1076,149,126,221,5,34,54,5,5,0,10,15,5.5,0,0.2,0.1,0,0,0,5.8,0.8,0.7,1.2,0,0.2,0.3,0,0,0,0.1,0.1
NHS Forth Valley,2023,25-29,All,Board,,1121,5,58,10,5,5,0,2101,195,131,241,5,105,102,5,5,0,19,25,5.9,0,0.3,0.1,0,0,0,11.1,1,0.7,1.3,0,0.6,0.5,0,0,0,0.1,0.1
NHS Forth Valley,2023,30-34,All,Board,,1329,13,96,15,13,10,0,2984,283,163,287,10,218,162,10,10,0,38,38,6.5,0.1,0.5,0.1,0.1,0,0,14.5,1.4,0.8,1.4,0,1.1,0.8,0,0,0,0.2,0.2
NHS Forth Valley,2023,35-39,All,Board,,1395,23,153,34,34,30,0,3628,400,146,300,15,433,212,24,5,0,49,69,6.9,0.1,0.8,0.2,0.2,0.1,0,17.9,2,0.7,1.5,0.1,2.1,1,0.1,0,0,0.2,0.3
NHS Forth Valley,2023,40-44,All,Board,,1622,48,248,57,91,99,0,4040,648,181,312,30,957,273,25,20,5,83,99,7.9,0.2,1.2,0.3,0.4,0.5,0,19.6,3.1,0.9,1.5,0.1,4.6,1.3,0.1,0.1,0,0.4,0.5
NHS Forth Valley,2023,45-49,All,Board,,1714,86,383,86,180,197,5,4504,928,192,335,57,1664,326,38,22,20,131,161,8.6,0.4,1.9,0.4,0.9,1,0,22.5,4.6,1,1.7,0.3,8.3,1.6,0.2,0.1,0.1,0.7,0.8
NHS Forth Valley,2023,50-54,All,Board,,2212,170,689,207,411,504,10,5518,1553,170,382,89,3495,363,108,38,73,171,371,9.3,0.7,2.9,0.9,1.7,2.1,0,23.2,6.5,0.7,1.6,0.4,14.7,1.5,0.5,0.2,0.3,0.7,1.6
NHS Forth Valley,2023,55-59,All,Board,,2169,295,1058,339,774,1002,20,5678,2253,120,429,162,5025,315,287,81,183,287,573,8.9,1.2,4.3,1.4,3.2,4.1,0.1,23.3,9.3,0.5,1.8,0.7,20.6,1.3,1.2,0.3,0.8,1.2,2.4
NHS Forth Valley,2023,60-64,All,Board,,2000,471,1296,550,994,1548,54,4841,2528,70,360,248,6065,303,584,83,269,305,812,9.2,2.2,6,2.5,4.6,7.1,0.2,22.3,11.6,0.3,1.7,1.1,27.9,1.4,2.7,0.4,1.2,1.4,3.7
NHS Forth Valley,2023,65-69,All,Board,,1637,693,1585,832,1188,1740,88,3838,2495,52,279,277,6255,235,734,109,310,284,897,9.3,3.9,9,4.7,6.7,9.8,0.5,21.7,14.1,0.3,1.6,1.6,35.4,1.3,4.2,0.6,1.8,1.6,5.1
NHS Forth Valley,2023,70-74,All,Board,,1351,981,1900,1332,1241,1949,214,3148,2630,19,256,381,6913,197,956,144,397,268,1160,8.6,6.2,12,8.4,7.9,12.3,1.4,19.9,16.7,0.1,1.6,2.4,43.8,1.2,6.1,0.9,2.5,1.7,7.3
NHS Forth Valley,2023,75-79,All,Board,,1052,1354,2020,1987,1248,2213,458,2442,2423,13,243,524,6913,179,1071,176,406,280,1357,7.8,10.1,15.1,14.8,9.3,16.5,3.4,18.2,18.1,0.1,1.8,3.9,51.6,1.3,8,1.3,3,2.1,10.1
NHS Forth Valley,2023,80-84,All,Board,,625,1134,1363,1758,803,1699,588,1261,1494,5,94,427,4518,115,768,196,278,170,1094,7.9,14.3,17.1,22.1,10.1,21.4,7.4,15.9,18.8,0.1,1.2,5.4,56.8,1.4,9.7,2.5,3.5,2.1,13.8
NHS Forth Valley,2023,85plus,All,Board,,457,1336,1128,2166,543,1650,918,907,1124,0,86,510,4181,122,854,355,254,127,1197,6.7,19.5,16.4,31.5,7.9,24,13.4,13.2,16.4,0,1.3,7.4,60.9,1.8,12.4,5.2,3.7,1.8,17.4
NHS Forth Valley,2023,All,All,Board,,22249,6620,12070,9394,7545,12652,2354,46197,19381,1548,4246,2751,46808,2970,5478,1256,2202,2245,7900,7.1,2.1,3.8,3,2.4,4,0.7,14.7,6.1,0.5,1.3,0.9,14.9,0.9,1.7,0.4,0.7,0.7,2.5
NHS Forth Valley,2024,00-4,All,Board,,122,0,5,0,0,0,0,0,5,5,32,0,0,0,0,5,0,0,5,1,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0
NHS Forth Valley,2024,05-9,All,Board,,741,0,10,0,5,0,0,0,41,15,90,5,5,0,0,0,0,5,10,4.8,0,0.1,0,0,0,0,0,0.3,0.1,0.6,0,0,0,0,0,0,0,0.1
NHS Forth Valley,2024,10-14,All,Board,,930,0,15,5,5,0,0,15,108,23,129,5,15,0,0,5,0,5,10,5.3,0,0.1,0,0,0,0,0.1,0.6,0.1,0.7,0,0.1,0,0,0,0,0,0.1
NHS Forth Valley,2024,15-19,All,Board,,830,5,26,5,5,5,0,199,139,106,161,5,16,15,5,5,0,15,10,4.5,0,0.1,0,0,0,0,1.1,0.8,0.6,0.9,0,0.1,0.1,0,0,0,0.1,0.1
NHS Forth Valley,2024,20-24,All,Board,,918,5,33,5,5,5,0,970,144,127,230,5,33,57,0,5,0,15,20,5,0,0.2,0,0,0,0,5.2,0.8,0.7,1.2,0,0.2,0.3,0,0,0,0.1,0.1
NHS Forth Valley,2024,25-29,All,Board,,1085,5,67,15,5,5,0,2037,205,143,234,0,112,94,5,5,0,24,24,5.8,0,0.4,0.1,0,0,0,10.8,1.1,0.8,1.2,0,0.6,0.5,0,0,0,0.1,0.1
NHS Forth Valley,2024,30-34,All,Board,,1301,23,90,21,18,10,0,3031,306,165,288,10,250,164,15,10,0,30,35,6.3,0.1,0.4,0.1,0.1,0,0,14.8,1.5,0.8,1.4,0,1.2,0.8,0.1,0,0,0.1,0.2
NHS Forth Valley,2024,35-39,All,Board,,1395,24,153,31,33,33,0,3520,411,154,299,15,470,214,23,5,0,54,58,6.9,0.1,0.8,0.2,0.2,0.2,0,17.3,2,0.8,1.5,0.1,2.3,1.1,0.1,0,0,0.3,0.3
NHS Forth Valley,2024,40-44,All,Board,,1589,49,246,57,105,102,0,4038,670,179,324,30,978,266,30,20,10,85,108,7.7,0.2,1.2,0.3,0.5,0.5,0,19.7,3.3,0.9,1.6,0.1,4.8,1.3,0.1,0.1,0,0.4,0.5
NHS Forth Valley,2024,45-49,All,Board,,1728,81,400,95,188,182,5,4334,952,194,329,56,1743,316,39,22,20,120,165,8.7,0.4,2,0.5,1,0.9,0,21.9,4.8,1,1.7,0.3,8.8,1.6,0.2,0.1,0.1,0.6,0.8
NHS Forth Valley,2024,50-54,All,Board,,2115,167,664,200,420,488,10,5315,1519,179,383,90,3455,368,105,46,72,174,332,9.3,0.7,2.9,0.9,1.9,2.2,0,23.4,6.7,0.8,1.7,0.4,15.2,1.6,0.5,0.2,0.3,0.8,1.5
